14;9;4.844;24.579;7.058;3.252;12.727;8.484;3.066;4.628;2.080;7.004;2.420;12.226;7.107;2.694;1.462;5.235
11.030;1.414;8.797;2.866;1.107;16.312;2.107;4.237;5.931;17.195;7.809;2.883;0.672;2.046;9.741;3.840;9.505;7.26
7.800;7.800;3.043;2.071;1.671;5.310;1.670;4.139;2.393;11.215;3.497;2.875;0.591;1.166;4.298;9.130;9.028;7.952
1.414;8.485;3.122;5.886;2.258;3.623;8.087;1.175;15.423;6.256;10.232;10.574;1.107;1.291;2.624;6.042;3.301;5.980
1;6;3.594;8.428;13.195;3.955;6.411;5.983;6.685;5.817;6.170;3.527;14.302;4.203;2.613;6.305;1.509;4.883
1.414;3.111;5.562;5.439;6.431;2.698;1.068;2.336;4.144;0.587;1.702;1.452;4.006;5.842;6.243;1.220;1.128;1.414
2.200;2.200;6.404;3.930;4.334;3.488;0.847;2.282;5.218;3.789;0.762;1.448;3.526;2.984;1.101;0.869;0.516;1.155
3.111;1.414;5.083;5.682;1.215;2.380;1.363;5.219;3.693;3.964;0.789;3.474;6.600;3.304;2.631;1.240;0.539;1.932
